Month,Customer,Region,SalesChannel,CustomerSegment,Product,Category,Qty,Price,Cost,CompetitorPrice,PriceIncreaseHistory,PromotionFlag,Revenue,TotalCost,Profit,MarginPct
2025-01,Customer 05,East Indonesia,Online,Retailer,SKU 12,Dairy,650,9227,6274,9022,8%,Y,5997550,4078100,1919450,0.32
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 11,Dairy,125,9460,7938,9426,0%,N,1182500,992250,190250,0.1609
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 10,Dairy,1151,47465,32379,49860,5%,N,54632215,37268229,17363986,0.3178
2025-01,Customer 05,East Indonesia,Online,Retailer,SKU 17,Personal Care,159,27330,23054,24902,0%,N,4345470,3665586,679884,0.1565
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 04,Beverage,712,20729,16002,22249,0%,N,14759048,11393424,3365624,0.228
2025-01,Customer 05,East Indonesia,Modern Trade,Retailer,SKU 18,Personal Care,220,27309,22474,27381,3%,N,6007980,4944280,1063700,0.177
2025-01,Customer 05,East Indonesia,General Trade,Retailer,SKU 01,Beverage,553,22792,18847,22109,0%,N,12603976,10422391,2181585,0.1731
2025-01,Customer 06,West Indonesia,General Trade,Distributor,SKU 06,Snack,879,24962,17700,27347,0%,N,21941598,15558300,6383298,0.2909
2025-01,Customer 06,West Indonesia,Modern Trade,Distributor,SKU 15,Frozen,130,46022,39037,46517,0%,N,5982860,5074810,908050,0.1518
2025-01,Customer 06,West Indonesia,Online,Distributor,SKU 14,Frozen,710,13815,11450,12593,0%,N,9808650,8129500,1679150,0.1712
2025-01,Customer 06,West Indonesia,General Trade,Distributor,SKU 11,Dairy,425,9340,6043,9066,0%,N,3969500,2568275,1401225,0.353
2025-01,Customer 06,West Indonesia,Modern Trade,Distributor,SKU 05,Snack,90,13717,9784,13112,3%,N,1234530,880560,353970,0.2867
2025-01,Customer 06,West Indonesia,General Trade,Distributor,SKU 17,Personal Care,807,24187,20020,26362,3%,N,19518909,16156140,3362769,0.1723
2025-01,Customer 06,West Indonesia,General Trade,Distributor,SKU 01,Beverage,502,22206,18190,20717,5%,N,11147412,9131380,2016032,0.1809
2025-01,Customer 06,West Indonesia,General Trade,Distributor,SKU 18,Personal Care,196,29933,19085,29219,5%,N,5866868,3740660,2126208,0.3624
2025-01,Customer 06,West Indonesia,Modern Trade,Distributor,SKU 09,Dairy,155,23695,15836,25423,8%,N,3672725,2454580,1218145,0.3317
2025-01,Customer 06,West Indonesia,Online,Distributor,SKU 08,Snack,826,30227,23947,32340,0%,N,24967502,19780222,5187280,0.2078
2025-01,Customer 06,West Indonesia,Modern Trade,Distributor,SKU 04,Beverage,50,20684,15544,21394,0%,N,1034200,777200,257000,0.2485
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 15,Frozen,861,46611,35385,42798,0%,N,40132071,30466485,9665586,0.2408
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 10,Dairy,1041,52314,35285,54381,0%,N,54458874,36731685,17727189,0.3255
2025-01,Customer 07,West Indonesia,Online,Key Account,SKU 04,Beverage,840,18538,13250,18510,3%,N,15571920,11130000,4441920,0.2853
2025-01,Customer 07,West Indonesia,Modern Trade,Key Account,SKU 18,Personal Care,161,26120,16508,24233,0%,N,4205320,2657788,1547532,0.368
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 19,Personal Care,332,39022,28036,36464,0%,Y,12955304,9307952,3647352,0.2815
2025-01,Customer 07,West Indonesia,Modern Trade,Key Account,SKU 08,Snack,1086,29219,20070,29503,0%,N,31731834,21796020,9935814,0.3131
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 13,Frozen,1127,10206,7408,9265,3%,N,11502162,8348816,3153346,0.2742
2025-01,Customer 07,West Indonesia,Modern Trade,Key Account,SKU 14,Frozen,290,13335,8524,12008,0%,N,3867150,2471960,1395190,0.3608
2025-01,Customer 07,West Indonesia,Modern Trade,Key Account,SKU 20,Personal Care,774,14480,12033,15232,3%,N,11207520,9313542,1893978,0.169
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 16,Frozen,720,43689,28970,47142,0%,N,31456080,20858400,10597680,0.3369
2025-01,Customer 07,West Indonesia,Modern Trade,Key Account,SKU 09,Dairy,861,24148,15952,23555,0%,Y,20791428,13734672,7056756,0.3394
2025-01,Customer 07,West Indonesia,Online,Key Account,SKU 11,Dairy,136,9417,5932,9593,5%,N,1280712,806752,473960,0.3701
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 05,Snack,159,14218,10607,14382,3%,N,2260662,1686513,574149,0.254
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 17,Personal Care,477,24903,20542,23629,0%,N,11878731,9798534,2080197,0.1751
2025-01,Customer 07,West Indonesia,General Trade,Key Account,SKU 06,Snack,716,23757,16424,25423,5%,Y,17010012,11759584,5250428,0.3087
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 17,Personal Care,223,26670,17249,26272,0%,N,5947410,3846527,2100883,0.3532
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 10,Dairy,612,50717,40165,50778,0%,N,31038804,24580980,6457824,0.2081
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 07,Snack,310,41953,28702,38289,0%,N,13005430,8897620,4107810,0.3159
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 13,Frozen,372,9830,5904,9777,5%,N,3656760,2196288,1460472,0.3994
2025-01,Customer 08,Central Indonesia,Online,Distributor,SKU 19,Personal Care,1177,39214,31671,36267,8%,N,46154878,37276767,8878111,0.1924
2025-01,Customer 08,Central Indonesia,General Trade,Distributor,SKU 15,Frozen,642,44933,37366,40871,5%,N,28846986,23988972,4858014,0.1684
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 01,Beverage,321,24935,20104,23616,8%,N,8004135,6453384,1550751,0.1937
2025-01,Customer 08,Central Indonesia,General Trade,Distributor,SKU 20,Personal Care,655,15264,10655,15078,0%,N,9997920,6979025,3018895,0.302
2025-01,Customer 08,Central Indonesia,General Trade,Distributor,SKU 14,Frozen,474,13395,9506,13007,0%,N,6349230,4505844,1843386,0.2903
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 12,Dairy,876,9339,7060,10160,0%,N,8180964,6184560,1996404,0.244
2025-01,Customer 08,Central Indonesia,General Trade,Distributor,SKU 11,Dairy,1096,10271,7434,10421,5%,N,11257016,8147664,3109352,0.2762
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 16,Frozen,1078,45289,35596,45922,5%,N,48821542,38372488,10449054,0.214
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 02,Beverage,921,8297,6090,8225,0%,N,7641537,5608890,2032647,0.266
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 06,Snack,96,24488,19418,24970,3%,N,2350848,1864128,486720,0.207
2025-01,Customer 08,Central Indonesia,Modern Trade,Distributor,SKU 18,Personal Care,118,29220,24538,27626,0%,N,3447960,2895484,552476,0.1602
2025-01,Customer 09,West Indonesia,Online,Key Account,SKU 07,Snack,834,44838,28172,47877,8%,Y,37394892,23495448,13899444,0.3717
2025-01,Customer 09,West Indonesia,Modern Trade,Key Account,SKU 06,Snack,620,23766,17871,24926,5%,N,14734920,11080020,3654900,0.248
2025-01,Customer 09,West Indonesia,Online,Key Account,SKU 03,Beverage,993,43309,30473,46972,0%,N,43005837,30259689,12746148,0.2964
2025-01,Customer 09,West Indonesia,General Trade,Key Account,SKU 10,Dairy,399,48714,31963,45214,0%,Y,19436886,12753237,6683649,0.3439
2025-01,Customer 09,West Indonesia,General Trade,Key Account,SKU 17,Personal Care,765,23661,16039,22608,0%,N,18100665,12269835,5830830,0.3221
2025-01,Customer 09,West Indonesia,Modern Trade,Key Account,SKU 02,Beverage,1130,8403,7060,8259,8%,Y,9495390,7977800,1517590,0.1598
2025-01,Customer 09,West Indonesia,Modern Trade,Key Account,SKU 09,Dairy,614,23252,15752,22911,0%,N,14276728,9671728,4605000,0.3226
2025-01,Customer 09,West Indonesia,General Trade,Key Account,SKU 16,Frozen,724,44852,27321,45433,5%,Y,32472848,19780404,12692444,0.3909
2025-01,Customer 09,West Indonesia,Modern Trade,Key Account,SKU 05,Snack,1067,14320,10169,14490,0%,Y,15279440,10850323,4429117,0.2899
2025-01,Customer 09,West Indonesia,Modern Trade,Key Account,SKU 19,Personal Care,981,34200,26960,36918,5%,N,33550200,26447760,7102440,0.2117
2025-01,Customer 10,West Indonesia,General Trade,Key Account,SKU 04,Beverage,146,20791,15609,22714,0%,N,3035486,2278914,756572,0.2492
2025-01,Customer 10,West Indonesia,Modern Trade,Key Account,SKU 02,Beverage,966,8566,7059,7855,0%,N,8274756,6818994,1455762,0.1759
2025-01,Customer 10,West Indonesia,Online,Key Account,SKU 10,Dairy,971,49742,35085,52900,0%,N,48299482,34067535,14231947,0.2947
2025-01,Customer 10,West Indonesia,General Trade,Key Account,SKU 16,Frozen,762,47869,31929,47001,0%,N,36476178,24329898,12146280,0.333
2025-01,Customer 10,West Indonesia,General Trade,Key Account,SKU 14,Frozen,996,12713,10725,11732,8%,N,12662148,10682100,1980048,0.1564
2025-01,Customer 10,West Indonesia,General Trade,Key Account,SKU 05,Snack,178,13539,9764,14193,0%,N,2409942,1737992,671950,0.2788
2025-01,Customer 10,West Indonesia,Modern Trade,Key Account,SKU 12,Dairy,547,9448,6910,9017,8%,Y,5168056,3779770,1388286,0.2686
2025-01,Customer 10,West Indonesia,General Trade,Key Account,SKU 17,Personal Care,91,25881,17301,26664,0%,N,2355171,1574391,780780,0.3315
2025-01,Customer 10,West Indonesia,Online,Key Account,SKU 06,Snack,394,23406,19310,23862,3%,N,9221964,7608140,1613824,0.175
2025-01,Customer 10,West Indonesia,Modern Trade,Key Account,SKU 13,Frozen,508,10555,8544,11126,0%,N,5361940,4340352,1021588,0.1905
2025-01,Customer 10,West Indonesia,Modern Trade,Key Account,SKU 11,Dairy,874,9050,7174,9660,8%,N,7909700,6270076,1639624,0.2073
2025-01,Customer 10,West Indonesia,General Trade,Key Account,SKU 15,Frozen,237,44331,32875,45782,3%,N,10506447,7791375,2715072,0.2584
2025-01,Customer 10,West Indonesia,Modern Trade,Key Account,SKU 20,Personal Care,806,13848,10368,13837,0%,N,11161488,8356608,2804880,0.2513
2025-01,Customer 10,West Indonesia,Modern Trade,Key Account,SKU 03,Beverage,204,45967,31537,45165,3%,N,9377268,6433548,2943720,0.3139
2025-01,Customer 11,West Indonesia,General Trade,Retailer,SKU 13,Frozen,391,10820,8673,11236,0%,N,4230620,3391143,839477,0.1984
2025-01,Customer 11,West Indonesia,Modern Trade,Retailer,SKU 04,Beverage,1171,19736,15261,20406,3%,Y,23110856,17870631,5240225,0.2267
2025-01,Customer 11,West Indonesia,Online,Retailer,SKU 08,Snack,453,28430,21094,25780,0%,N,12878790,9555582,3323208,0.258
2025-01,Customer 11,West Indonesia,General Trade,Retailer,SKU 11,Dairy,742,9088,6411,9533,0%,Y,6743296,4756962,1986334,0.2946
2025-01,Customer 11,West Indonesia,Modern Trade,Retailer,SKU 20,Personal Care,669,13329,9984,12317,3%,Y,8917101,6679296,2237805,0.251
2025-01,Customer 11,West Indonesia,General Trade,Retailer,SKU 15,Frozen,992,45386,31821,48145,3%,N,45022912,31566432,13456480,0.2989
2025-01,Customer 11,West Indonesia,Online,Retailer,SKU 09,Dairy,777,24100,17031,23702,8%,N,18725700,13233087,5492613,0.2933
2025-01,Customer 11,West Indonesia,Online,Retailer,SKU 10,Dairy,302,52033,38100,55142,0%,N,15713966,11506200,4207766,0.2678
2025-01,Customer 12,West Indonesia,Modern Trade,Key Account,SKU 20,Personal Care,484,13285,11251,12977,0%,N,6429940,5445484,984456,0.1531
2025-01,Customer 12,West Indonesia,Online,Key Account,SKU 08,Snack,110,28806,21522,31019,8%,N,3168660,2367420,801240,0.2529
2025-01,Customer 12,West Indonesia,Modern Trade,Key Account,SKU 11,Dairy,277,9169,7773,9980,3%,N,2539813,2153121,386692,0.1523
2025-01,Customer 12,West Indonesia,Modern Trade,Key Account,SKU 02,Beverage,1189,8401,5503,8870,0%,N,9988789,6543067,3445722,0.345
2025-01,Customer 12,West Indonesia,General Trade,Key Account,SKU 14,Frozen,1128,12706,9269,12769,0%,N,14332368,10455432,3876936,0.2705
2025-01,Customer 12,West Indonesia,General Trade,Key Account,SKU 03,Beverage,906,47605,30394,44981,0%,N,43130130,27536964,15593166,0.3615
2025-01,Customer 12,West Indonesia,General Trade,Key Account,SKU 13,Frozen,381,11092,9040,10850,0%,N,4226052,3444240,781812,0.185
2025-01,Customer 12,West Indonesia,Modern Trade,Key Account,SKU 06,Snack,977,26250,15982,28515,0%,N,25646250,15614414,10031836,0.3912
2025-01,Customer 12,West Indonesia,General Trade,Key Account,SKU 01,Beverage,1206,23310,15499,23290,0%,Y,28111860,18691794,9420066,0.3351
2025-01,Customer 12,West Indonesia,Modern Trade,Key Account,SKU 05,Snack,1030,15165,12857,16326,8%,N,15619950,13242710,2377240,0.1522
2025-01,Customer 12,West Indonesia,Modern Trade,Key Account,SKU 04,Beverage,1121,19833,14704,21334,3%,N,22232793,16483184,5749609,0.2586
2025-01,Customer 12,West Indonesia,Modern Trade,Key Account,SKU 07,Snack,405,42716,27342,40483,0%,N,17299980,11073510,6226470,0.3599
2025-01,Customer 12,West Indonesia,Online,Key Account,SKU 18,Personal Care,474,26388,21648,26205,0%,N,12507912,10261152,2246760,0.1796
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 06,Snack,640,24580,19910,23004,5%,N,15731200,12742400,2988800,0.19
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 03,Beverage,972,47545,29333,49524,3%,Y,46213740,28511676,17702064,0.383
2025-01,Customer 13,West Indonesia,Online,Distributor,SKU 20,Personal Care,760,13377,8275,14688,0%,N,10166520,6289000,3877520,0.3814
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 05,Snack,818,13420,10595,12137,0%,N,10977560,8666710,2310850,0.2105
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 17,Personal Care,1003,24555,14739,24400,0%,N,24628665,14783217,9845448,0.3998
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 10,Dairy,88,49302,39761,52654,0%,N,4338576,3498968,839608,0.1935
2025-01,Customer 13,West Indonesia,General Trade,Distributor,SKU 08,Snack,905,32182,19561,34817,8%,N,29124710,17702705,11422005,0.3922
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 09,Dairy,623,25537,16790,23142,0%,N,15909551,10460170,5449381,0.3425
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 01,Beverage,545,23693,19950,25439,5%,N,12912685,10872750,2039935,0.158
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 16,Frozen,249,48140,30463,52191,5%,N,11986860,7585287,4401573,0.3672
2025-01,Customer 13,West Indonesia,General Trade,Distributor,SKU 19,Personal Care,789,34446,21745,33965,0%,N,27177894,17156805,10021089,0.3687
2025-01,Customer 13,West Indonesia,General Trade,Distributor,SKU 12,Dairy,781,8884,5927,8547,0%,N,6938404,4628987,2309417,0.3328
2025-01,Customer 13,West Indonesia,Online,Distributor,SKU 15,Frozen,325,47141,32946,49233,5%,N,15320825,10707450,4613375,0.3011
2025-01,Customer 13,West Indonesia,General Trade,Distributor,SKU 13,Frozen,152,11113,8680,10326,3%,Y,1689176,1319360,369816,0.2189
2025-01,Customer 13,West Indonesia,Modern Trade,Distributor,SKU 14,Frozen,646,13273,8661,14005,0%,N,8574358,5595006,2979352,0.3475
2025-01,Customer 14,West Indonesia,Online,Key Account,SKU 17,Personal Care,368,26412,16055,24045,3%,N,9719616,5908240,3811376,0.3921
2025-01,Customer 14,West Indonesia,Modern Trade,Key Account,SKU 15,Frozen,1166,44642,35879,48167,5%,N,52052572,41834914,10217658,0.1963
2025-01,Customer 14,West Indonesia,Modern Trade,Key Account,SKU 05,Snack,462,14221,8677,14046,3%,N,6570102,4008774,2561328,0.3898
2025-01,Customer 14,West Indonesia,Modern Trade,Key Account,SKU 03,Beverage,965,46004,34684,45729,5%,N,44393860,33470060,10923800,0.2461
2025-01,Customer 14,West Indonesia,General Trade,Key Account,SKU 19,Personal Care,360,37624,27260,39273,8%,N,13544640,9813600,3731040,0.2755
2025-01,Customer 14,West Indonesia,Modern Trade,Key Account,SKU 08,Snack,929,29929,18567,28256,0%,N,27804041,17248743,10555298,0.3796
2025-01,Customer 14,West Indonesia,General Trade,Key Account,SKU 14,Frozen,959,13231,10810,13873,0%,N,12688529,10366790,2321739,0.183
2025-01,Customer 14,West Indonesia,General Trade,Key Account,SKU 11,Dairy,585,9692,7131,9862,0%,Y,5669820,4171635,1498185,0.2642
2025-01,Customer 15,West Indonesia,Modern Trade,Retailer,SKU 11,Dairy,996,9487,6907,8669,0%,N,9449052,6879372,2569680,0.272
2025-01,Customer 15,West Indonesia,Modern Trade,Retailer,SKU 17,Personal Care,433,25344,18468,25815,0%,Y,10973952,7996644,2977308,0.2713
2025-01,Customer 15,West Indonesia,Modern Trade,Retailer,SKU 19,Personal Care,77,35273,26955,37202,8%,Y,2716021,2075535,640486,0.2358
2025-01,Customer 15,West Indonesia,Modern Trade,Retailer,SKU 09,Dairy,338,23008,14227,23098,5%,N,7776704,4808726,2967978,0.3816
2025-01,Customer 15,West Indonesia,General Trade,Retailer,SKU 01,Beverage,183,22838,17226,21317,0%,Y,4179354,3152358,1026996,0.2457
2025-01,Customer 15,West Indonesia,General Trade,Retailer,SKU 08,Snack,741,30747,22096,32626,5%,N,22783527,16373136,6410391,0.2814
2025-01,Customer 15,West Indonesia,Online,Retailer,SKU 18,Personal Care,674,27946,17006,25838,0%,N,18835604,11462044,7373560,0.3915
2025-01,Customer 15,West Indonesia,Online,Retailer,SKU 05,Snack,1082,13402,9556,12909,0%,N,14500964,10339592,4161372,0.287
2025-01,Customer 15,West Indonesia,General Trade,Retailer,SKU 12,Dairy,543,8625,6209,7792,8%,N,4683375,3371487,1311888,0.2801
2025-01,Customer 15,West Indonesia,General Trade,Retailer,SKU 16,Frozen,1120,46846,34146,48409,0%,Y,52467520,38243520,14224000,0.2711
2025-01,Customer 15,West Indonesia,General Trade,Retailer,SKU 14,Frozen,359,13746,8941,15037,3%,Y,4934814,3209819,1724995,0.3496
2025-01,Customer 16,Central Indonesia,Modern Trade,Retailer,SKU 19,Personal Care,1082,35023,26782,36082,3%,Y,37894886,28978124,8916762,0.2353
2025-01,Customer 16,Central Indonesia,Online,Retailer,SKU 20,Personal Care,1067,14637,9946,16081,0%,N,15617679,10612382,5005297,0.3205
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 03,Beverage,542,43271,32999,46954,8%,N,23452882,17885458,5567424,0.2374
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 04,Beverage,449,20202,14321,18667,0%,N,9070698,6430129,2640569,0.2911
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 13,Frozen,1147,10210,7137,9982,0%,N,11710870,8186139,3524731,0.301
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 08,Snack,342,28654,17716,29617,0%,N,9799668,6058872,3740796,0.3817
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 17,Personal Care,1084,25741,21567,27873,0%,N,27903244,23378628,4524616,0.1622
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 09,Dairy,355,24331,17844,25619,3%,N,8637505,6334620,2302885,0.2666
2025-01,Customer 16,Central Indonesia,Modern Trade,Retailer,SKU 16,Frozen,947,47348,38143,51104,8%,Y,44838556,36121421,8717135,0.1944
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 12,Dairy,770,8600,5583,8074,3%,Y,6622000,4298910,2323090,0.3508
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 11,Dairy,425,9351,6328,9424,3%,N,3974175,2689400,1284775,0.3233
2025-01,Customer 16,Central Indonesia,Modern Trade,Retailer,SKU 10,Dairy,51,47304,33273,44287,0%,N,2412504,1696923,715581,0.2966
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 14,Frozen,965,12639,8516,11843,0%,N,12196635,8217940,3978695,0.3262
2025-01,Customer 16,Central Indonesia,General Trade,Retailer,SKU 07,Snack,612,48458,36363,52181,0%,N,29656296,22254156,7402140,0.2496
2025-01,Customer 16,Central Indonesia,Online,Retailer,SKU 01,Beverage,59,22556,15567,23773,0%,N,1330804,918453,412351,0.3099
2025-01,Customer 17,West Indonesia,General Trade,Key Account,SKU 15,Frozen,860,46859,35227,44346,3%,N,40298740,30295220,10003520,0.2482
2025-01,Customer 17,West Indonesia,General Trade,Key Account,SKU 06,Snack,977,26789,16987,26276,3%,N,26172853,16596299,9576554,0.3659
2025-01,Customer 17,West Indonesia,Modern Trade,Key Account,SKU 08,Snack,512,32317,20427,33766,0%,N,16546304,10458624,6087680,0.3679
2025-01,Customer 17,West Indonesia,General Trade,Key Account,SKU 12,Dairy,1063,8439,6424,8272,0%,N,8970657,6828712,2141945,0.2388
